variable	var_label	var_type	reference_row	row_type	header_row	N_obs	N_event	N	coefficients_type	coefficients_label	Criteria	term	var_class	var_nlevels	contrasts	contrasts_type	n_obs	n_event	exposure	Hazard_Ratio	std.error	statistic	nevent	conf.low	conf.high	ci	p.value	Concordance	Likelihood_Ratio_Pval	Wald_Test_Pval	Logrank_Test_Pval	Likelihood_Ratio_AdjPval_BH	Wald_Test_AdjPval_BH	Logrank_Test_AdjPval_BH
UpInTRM.Mackay.28628092.SupplTable10.BIN	UpInTRM.Mackay.28628092.SupplTable10.BIN	dichotomous	FALSE	level	FALSE	313	164	313	prop_hazard	HR	High_AboveMedian	UpInTRM.Mackay.28628092.SupplTable10.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	156	79	98,738	0.81	0.156	-1.36	164	0.59	1.10	0.59, 1.10	0.2	0.537	0.2	0.2	0.2	0.2	0.2	0.2
TRMstem.Anadon.35427494.SupplTable4.BIN	TRMstem.Anadon.35427494.SupplTable4.BIN	dichotomous	FALSE	level	FALSE	313	164	313	prop_hazard	HR	High_AboveMedian	TRMstem.Anadon.35427494.SupplTable4.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	156	73	100,258	0.68	0.157	-2.41	164	0.50	0.93	0.50, 0.93	0.016	0.553	0.02	0.02	0.02	0.02	0.02	0.02
TRMeffector.Anadon.35427494.SupplTable4.BIN	TRMeffector.Anadon.35427494.SupplTable4.BIN	dichotomous	FALSE	level	FALSE	313	164	313	prop_hazard	HR	High_AboveMedian	TRMeffector.Anadon.35427494.SupplTable4.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	156	71	101,589	0.63	0.159	-2.87	164	0.47	0.87	0.47, 0.87	0.004	0.557	0.004	0.004	0.004	0.004	0.004	0.004
Precursor.Tex.inLCMV.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol.BIN	Precursor.Tex.inLCMV.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol.BIN	dichotomous	FALSE	level	FALSE	313	164	313	prop_hazard	HR	High_AboveMedian	Precursor.Tex.inLCMV.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	156	79	91,066	0.91	0.156	-0.627	164	0.67	1.23	0.67, 1.23	0.5	0.52	0.5	0.5	0.5	0.5	0.5	0.5
Terminal.Tex.inLCMV.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol.BIN	Terminal.Tex.inLCMV.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol.BIN	dichotomous	FALSE	level	FALSE	313	164	313	prop_hazard	HR	High_AboveMedian	Terminal.Tex.inLCMV.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	156	71	102,585	0.62	0.158	-3.02	164	0.45	0.85	0.45, 0.85	0.003	0.56	0.002	0.003	0.002	0.003	0.003	0.003
Precursor.Tex.inLCMV.Cheng.34270940.Immunity.SupplTableOf.Yao.NatImmunol.BIN	Precursor.Tex.inLCMV.Cheng.34270940.Immunity.SupplTableOf.Yao.NatImmunol.BIN	dichotomous	FALSE	level	FALSE	313	164	313	prop_hazard	HR	High_AboveMedian	Precursor.Tex.inLCMV.Cheng.34270940.Immunity.SupplTableOf.Yao.NatImmunol.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	156	70	102,666	0.60	0.159	-3.20	164	0.44	0.82	0.44, 0.82	0.001	0.565	0.001	0.001	0.001	0.001	0.001	0.001
Terminal.Tex.inLCMV.Cheng.34270940.Immunity.SupplTableOf.Yao.NatImmunol.BIN	Terminal.Tex.inLCMV.Cheng.34270940.Immunity.SupplTableOf.Yao.NatImmunol.BIN	dichotomous	FALSE	level	FALSE	313	164	313	prop_hazard	HR	High_AboveMedian	Terminal.Tex.inLCMV.Cheng.34270940.Immunity.SupplTableOf.Yao.NatImmunol.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	156	76	91,040	0.86	0.157	-0.931	164	0.64	1.18	0.64, 1.18	0.4	0.517	0.4	0.4	0.4	0.4	0.4	0.4
Precursor.Tex.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol.BIN	Precursor.Tex.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol.BIN	dichotomous	FALSE	level	FALSE	313	164	313	prop_hazard	HR	High_AboveMedian	Precursor.Tex.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	156	71	102,426	0.63	0.158	-2.92	164	0.46	0.86	0.46, 0.86	0.004	0.556	0.003	0.004	0.003	0.004	0.004	0.004
Terminal.Tex.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol.BIN	Terminal.Tex.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol.BIN	dichotomous	FALSE	level	FALSE	313	164	313	prop_hazard	HR	High_AboveMedian	Terminal.Tex.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	156	72	103,908	0.63	0.159	-2.91	164	0.46	0.86	0.46, 0.86	0.004	0.553	0.003	0.004	0.003	0.004	0.004	0.004
CD8.CART.UP.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Chen.Nature.BIN	CD8.CART.UP.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Chen.Nature.BIN	dichotomous	FALSE	level	FALSE	313	164	313	prop_hazard	HR	High_AboveMedian	CD8.CART.UP.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Chen.Nature.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	156	77	89,102	0.92	0.157	-0.567	164	0.67	1.24	0.67, 1.24	0.6	0.511	0.6	0.6	0.6	0.6	0.6	0.6
CD8.CART.DOWN.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Chen.Nature.BIN	CD8.CART.DOWN.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Chen.Nature.BIN	dichotomous	FALSE	level	FALSE	313	164	313	prop_hazard	HR	High_AboveMedian	CD8.CART.DOWN.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Chen.Nature.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	156	74	101,541	0.69	0.158	-2.36	164	0.51	0.94	0.51, 0.94	0.018	0.539	0.02	0.02	0.02	0.02	0.02	0.02
HBV.specific.CD69posCells.Cluster6and8.Cheng.34270940.Immunity.BIN	HBV.specific.CD69posCells.Cluster6and8.Cheng.34270940.Immunity.BIN	dichotomous	FALSE	level	FALSE	313	164	313	prop_hazard	HR	High_AboveMedian	HBV.specific.CD69posCells.Cluster6and8.Cheng.34270940.Immunity.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	156	73	96,137	0.75	0.157	-1.81	164	0.55	1.02	0.55, 1.02	0.071	0.534	0.07	0.07	0.07	0.07	0.07	0.07
Lung.CD4.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport.BIN	Lung.CD4.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport.BIN	dichotomous	FALSE	level	FALSE	313	164	313	prop_hazard	HR	High_AboveMedian	Lung.CD4.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	156	73	98,988	0.71	0.158	-2.21	164	0.52	0.96	0.52, 0.96	0.027	0.539	0.03	0.03	0.03	0.03	0.03	0.03
Lung.CD8.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport.BIN	Lung.CD8.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport.BIN	dichotomous	FALSE	level	FALSE	313	164	313	prop_hazard	HR	High_AboveMedian	Lung.CD8.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	156	91	85,026	1.42	0.157	2.23	164	1.04	1.93	1.04, 1.93	0.026	0.548	0.03	0.03	0.03	0.03	0.03	0.03
Spleen.CD4.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport.BIN	Spleen.CD4.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport.BIN	dichotomous	FALSE	level	FALSE	313	164	313	prop_hazard	HR	High_AboveMedian	Spleen.CD4.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	156	85	87,054	1.17	0.156	0.99	164	0.86	1.59	0.86, 1.59	0.3	0.523	0.3	0.3	0.3	0.3	0.3	0.3
Spleen.CD8.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport.BIN	Spleen.CD8.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport.BIN	dichotomous	FALSE	level	FALSE	313	164	313	prop_hazard	HR	High_AboveMedian	Spleen.CD8.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	156	87	87,252	1.24	0.157	1.39	164	0.92	1.69	0.92, 1.69	0.2	0.531	0.2	0.2	0.2	0.2	0.2	0.2
CROWL.Residency.TableS8.Crowl.35761084.NatImmunol.BIN	CROWL.Residency.TableS8.Crowl.35761084.NatImmunol.BIN	dichotomous	FALSE	level	FALSE	313	164	313	prop_hazard	HR	High_AboveMedian	CROWL.Residency.TableS8.Crowl.35761084.NatImmunol.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	156	75	97,847	0.75	0.157	-1.81	164	0.55	1.02	0.55, 1.02	0.070	0.537	0.07	0.07	0.07	0.07	0.07	0.07
UP.IN.TCM.VS.TEM.TableS8.Crowl.35761084.NatImmunol.BIN	UP.IN.TCM.VS.TEM.TableS8.Crowl.35761084.NatImmunol.BIN	dichotomous	FALSE	level	FALSE	313	164	313	prop_hazard	HR	High_AboveMedian	UP.IN.TCM.VS.TEM.TableS8.Crowl.35761084.NatImmunol.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	156	90	88,174	1.26	0.157	1.48	164	0.93	1.72	0.93, 1.72	0.14	0.515	0.1	0.1	0.1	0.1	0.1	0.1
UP.IN.TEM.VS.TCM.TableS8.Crowl.35761084.NatImmunol.BIN	UP.IN.TEM.VS.TCM.TableS8.Crowl.35761084.NatImmunol.BIN	dichotomous	FALSE	level	FALSE	313	164	313	prop_hazard	HR	High_AboveMedian	UP.IN.TEM.VS.TCM.TableS8.Crowl.35761084.NatImmunol.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	156	80	98,568	0.84	0.157	-1.09	164	0.62	1.15	0.62, 1.15	0.3	0.522	0.3	0.3	0.3	0.3	0.3	0.3
TGFΒ.SIGNATURE.TableS8.Crowl.35761084.NatImmunol.BIN	TGFΒ.SIGNATURE.TableS8.Crowl.35761084.NatImmunol.BIN	dichotomous	FALSE	level	FALSE	313	164	313	prop_hazard	HR	High_AboveMedian	TGFΒ.SIGNATURE.TableS8.Crowl.35761084.NatImmunol.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	156	72	103,403	0.63	0.158	-2.96	164	0.46	0.85	0.46, 0.85	0.003	0.557	0.003	0.003	0.003	0.003	0.003	0.003
MILNER.RESIDENCY.TableS8.Crowl.35761084.NatImmunol.BIN	MILNER.RESIDENCY.TableS8.Crowl.35761084.NatImmunol.BIN	dichotomous	FALSE	level	FALSE	313	164	313	prop_hazard	HR	High_AboveMedian	MILNER.RESIDENCY.TableS8.Crowl.35761084.NatImmunol.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	156	73	98,109	0.72	0.157	-2.13	164	0.53	0.97	0.53, 0.97	0.033	0.546	0.03	0.03	0.03	0.03	0.03	0.03
IFN.21978456.BIN	IFN.21978456.BIN	dichotomous	FALSE	level	FALSE	313	164	313	prop_hazard	HR	High_AboveMedian	IFN.21978456.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	156	72	100,575	0.65	0.158	-2.72	164	0.48	0.89	0.48, 0.89	0.007	0.561	0.006	0.007	0.006	0.007	0.007	0.007
