variable	var_label	var_type	reference_row	row_type	header_row	N_obs	N_event	N	coefficients_type	coefficients_label	Criteria	term	var_class	var_nlevels	contrasts	contrasts_type	n_obs	n_event	exposure	Hazard_Ratio	std.error	statistic	nevent	conf.low	conf.high	ci	p.value	Concordance	Likelihood_Ratio_Pval	Wald_Test_Pval	Logrank_Test_Pval	Likelihood_Ratio_AdjPval_BH	Wald_Test_AdjPval_BH	Logrank_Test_AdjPval_BH
UpInTRM.Mackay.28628092.SupplTable10.BIN	UpInTRM.Mackay.28628092.SupplTable10.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	UpInTRM.Mackay.28628092.SupplTable10.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	74	51,667	0.89	0.167	-0.708	144	0.64	1.23	0.64, 1.23	0.5	0.532	0.5	0.5	0.5	0.5	0.5	0.5
TRMstem.Anadon.35427494.SupplTable4.BIN	TRMstem.Anadon.35427494.SupplTable4.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	TRMstem.Anadon.35427494.SupplTable4.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	68	53,580	0.75	0.168	-1.72	144	0.54	1.04	0.54, 1.04	0.085	0.539	0.08	0.08	0.08	0.08	0.08	0.08
TRMeffector.Anadon.35427494.SupplTable4.BIN	TRMeffector.Anadon.35427494.SupplTable4.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	TRMeffector.Anadon.35427494.SupplTable4.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	64	57,066	0.60	0.170	-3.01	144	0.43	0.84	0.43, 0.84	0.003	0.568	0.002	0.003	0.002	0.003	0.003	0.003
Precursor.Tex.inLCMV.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol.BIN	Precursor.Tex.inLCMV.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	Precursor.Tex.inLCMV.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	70	47,476	0.85	0.167	-1.01	144	0.61	1.17	0.61, 1.17	0.3	0.534	0.3	0.3	0.3	0.3	0.3	0.3
Terminal.Tex.inLCMV.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol.BIN	Terminal.Tex.inLCMV.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	Terminal.Tex.inLCMV.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	68	56,523	0.67	0.169	-2.36	144	0.48	0.93	0.48, 0.93	0.018	0.561	0.02	0.02	0.02	0.02	0.02	0.02
Precursor.Tex.inLCMV.Cheng.34270940.Immunity.SupplTableOf.Yao.NatImmunol.BIN	Precursor.Tex.inLCMV.Cheng.34270940.Immunity.SupplTableOf.Yao.NatImmunol.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	Precursor.Tex.inLCMV.Cheng.34270940.Immunity.SupplTableOf.Yao.NatImmunol.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	63	55,062	0.59	0.169	-3.08	144	0.43	0.83	0.43, 0.83	0.002	0.572	0.002	0.002	0.002	0.002	0.002	0.002
Terminal.Tex.inLCMV.Cheng.34270940.Immunity.SupplTableOf.Yao.NatImmunol.BIN	Terminal.Tex.inLCMV.Cheng.34270940.Immunity.SupplTableOf.Yao.NatImmunol.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	Terminal.Tex.inLCMV.Cheng.34270940.Immunity.SupplTableOf.Yao.NatImmunol.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	60	50,603	0.61	0.169	-2.88	144	0.44	0.86	0.44, 0.86	0.004	0.553	0.004	0.004	0.004	0.004	0.004	0.004
Precursor.Tex.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol.BIN	Precursor.Tex.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	Precursor.Tex.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	63	55,869	0.58	0.170	-3.23	144	0.41	0.81	0.41, 0.81	0.001	0.575	0.001	0.001	0.001	0.001	0.001	0.001
Terminal.Tex.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol.BIN	Terminal.Tex.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	Terminal.Tex.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	65	55,737	0.63	0.170	-2.71	144	0.45	0.88	0.45, 0.88	0.007	0.558	0.007	0.007	0.006	0.007	0.007	0.007
CD8.CART.UP.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Chen.Nature.BIN	CD8.CART.UP.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Chen.Nature.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	CD8.CART.UP.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Chen.Nature.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	62	49,037	0.67	0.169	-2.41	144	0.48	0.93	0.48, 0.93	0.016	0.545	0.02	0.02	0.02	0.02	0.02	0.02
CD8.CART.DOWN.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Chen.Nature.BIN	CD8.CART.DOWN.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Chen.Nature.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	CD8.CART.DOWN.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Chen.Nature.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	67	56,885	0.66	0.169	-2.50	144	0.47	0.91	0.47, 0.91	0.013	0.559	0.01	0.01	0.01	0.01	0.01	0.01
HBV.specific.CD69posCells.Cluster6and8.Cheng.34270940.Immunity.BIN	HBV.specific.CD69posCells.Cluster6and8.Cheng.34270940.Immunity.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	HBV.specific.CD69posCells.Cluster6and8.Cheng.34270940.Immunity.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	68	51,655	0.79	0.168	-1.42	144	0.57	1.09	0.57, 1.09	0.2	0.528	0.2	0.2	0.2	0.2	0.2	0.2
Lung.CD4.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport.BIN	Lung.CD4.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	Lung.CD4.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	68	54,080	0.72	0.169	-1.95	144	0.52	1.00	0.52, 1.00	0.051	0.543	0.05	0.05	0.05	0.05	0.05	0.05
Lung.CD8.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport.BIN	Lung.CD8.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	Lung.CD8.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	78	35,187	1.46	0.168	2.26	144	1.05	2.03	1.05, 2.03	0.024	0.551	0.02	0.02	0.02	0.02	0.02	0.02
Spleen.CD4.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport.BIN	Spleen.CD4.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	Spleen.CD4.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	72	38,571	1.20	0.167	1.08	144	0.86	1.66	0.86, 1.66	0.3	0.538	0.3	0.3	0.3	0.3	0.3	0.3
Spleen.CD8.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport.BIN	Spleen.CD8.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	Spleen.CD8.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	72	40,716	1.14	0.167	0.779	144	0.82	1.58	0.82, 1.58	0.4	0.533	0.4	0.4	0.4	0.4	0.4	0.4
CROWL.Residency.TableS8.Crowl.35761084.NatImmunol.BIN	CROWL.Residency.TableS8.Crowl.35761084.NatImmunol.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	CROWL.Residency.TableS8.Crowl.35761084.NatImmunol.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	67	54,425	0.68	0.168	-2.29	144	0.49	0.95	0.49, 0.95	0.022	0.558	0.02	0.02	0.02	0.02	0.02	0.02
UP.IN.TCM.VS.TEM.TableS8.Crowl.35761084.NatImmunol.BIN	UP.IN.TCM.VS.TEM.TableS8.Crowl.35761084.NatImmunol.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	UP.IN.TCM.VS.TEM.TableS8.Crowl.35761084.NatImmunol.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	73	40,484	1.10	0.167	0.564	144	0.79	1.52	0.79, 1.52	0.6	0.512	0.6	0.6	0.6	0.6	0.6	0.6
UP.IN.TEM.VS.TCM.TableS8.Crowl.35761084.NatImmunol.BIN	UP.IN.TEM.VS.TCM.TableS8.Crowl.35761084.NatImmunol.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	UP.IN.TEM.VS.TCM.TableS8.Crowl.35761084.NatImmunol.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	76	49,472	0.98	0.167	-0.096	144	0.71	1.37	0.71, 1.37	>0.9	0.517	0.9	0.9	0.9	0.9	0.9	0.9
TGFΒ.SIGNATURE.TableS8.Crowl.35761084.NatImmunol.BIN	TGFΒ.SIGNATURE.TableS8.Crowl.35761084.NatImmunol.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	TGFΒ.SIGNATURE.TableS8.Crowl.35761084.NatImmunol.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	70	52,800	0.77	0.168	-1.53	144	0.56	1.07	0.56, 1.07	0.12	0.543	0.1	0.1	0.1	0.1	0.1	0.1
MILNER.RESIDENCY.TableS8.Crowl.35761084.NatImmunol.BIN	MILNER.RESIDENCY.TableS8.Crowl.35761084.NatImmunol.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	MILNER.RESIDENCY.TableS8.Crowl.35761084.NatImmunol.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	67	54,660	0.68	0.168	-2.33	144	0.49	0.94	0.49, 0.94	0.020	0.56	0.02	0.02	0.02	0.02	0.02	0.02
IFN.21978456.BIN	IFN.21978456.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	IFN.21978456.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	66	56,374	0.66	0.169	-2.50	144	0.47	0.91	0.47, 0.91	0.012	0.558	0.01	0.01	0.01	0.01	0.01	0.01
CD103pos.mean.25446897.BIN	CD103pos.mean.25446897.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	CD103pos.mean.25446897.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	63	56,612	0.57	0.170	-3.29	144	0.41	0.80	0.41, 0.80	<0.001	0.576	9e-04	0.001	9e-04	0.001	0.001	0.001
NKCD56brightcells.BIN	NKCD56brightcells.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	NKCD56brightcells.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	70	46,986	0.87	0.167	-0.867	144	0.62	1.20	0.62, 1.20	0.4	0.527	0.4	0.4	0.4	0.4	0.4	0.4
STAT1.score.BIN	STAT1.score.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	STAT1.score.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	63	57,251	0.57	0.170	-3.34	144	0.41	0.79	0.41, 0.79	<0.001	0.578	8e-04	8e-04	7e-04	8e-04	8e-04	8e-04
G.SIGLEC9.BIN	G.SIGLEC9.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	G.SIGLEC9.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	60	57,855	0.53	0.172	-3.68	144	0.38	0.74	0.38, 0.74	<0.001	0.573	2e-04	2e-04	2e-04	2e-04	2e-04	2e-04
Immune.cell.Cluster.21214954.BIN	Immune.cell.Cluster.21214954.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	Immune.cell.Cluster.21214954.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	64	57,093	0.59	0.170	-3.07	144	0.43	0.83	0.43, 0.83	0.002	0.571	0.002	0.002	0.002	0.002	0.002	0.002
G.CD3E.BIN	G.CD3E.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	G.CD3E.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	66	56,316	0.64	0.170	-2.64	144	0.46	0.89	0.46, 0.89	0.008	0.561	0.008	0.008	0.008	0.008	0.008	0.008
IFIT3.BIN	IFIT3.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	IFIT3.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	62	55,088	0.62	0.170	-2.78	144	0.45	0.87	0.45, 0.87	0.005	0.55	0.005	0.005	0.005	0.005	0.005	0.005
MHC1.21978456.BIN	MHC1.21978456.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	MHC1.21978456.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	61	56,346	0.55	0.171	-3.52	144	0.39	0.77	0.39, 0.77	<0.001	0.575	4e-04	4e-04	4e-04	4e-04	4e-04	4e-04
Immune.NSCLC.score.BIN	Immune.NSCLC.score.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	Immune.NSCLC.score.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	69	54,164	0.77	0.168	-1.59	144	0.55	1.06	0.55, 1.06	0.11	0.535	0.1	0.1	0.1	0.1	0.1	0.1
ICR.SCORE.BIN	ICR.SCORE.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	ICR.SCORE.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	65	57,325	0.58	0.171	-3.15	144	0.42	0.82	0.42, 0.82	0.002	0.577	0.002	0.002	0.001	0.002	0.002	0.002
