variable	Hazard_Ratio	ci	p.value	Concordance	Likelihood_Ratio_Pval	Wald_Test_Pval	Logrank_Test_Pval	Likelihood_Ratio_AdjPval_BH	Wald_Test_AdjPval_BH	Logrank_Test_AdjPval_BH	Criteria	var_label	var_type	reference_row	row_type	header_row	N_obs	N_event	N	coefficients_type	coefficients_label	term	var_class	var_nlevels	contrasts	contrasts_type	n_obs	n_event	exposure	std.error	statistic	nevent	conf.low	conf.high
CD103pos.mean.25446897	0.48	0.35, 0.65	<0.001	0.595	3e-06	4e-06	2e-06	4e-06	4e-06	4e-06	High_AboveMedian	CD103pos.mean.25446897.BIN	dichotomous	FALSE	level	FALSE	313	164	313	prop_hazard	HR	CD103pos.mean.25446897.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	156	64	106,770	0.161	-4.61	164	0.35	0.65
STAT1.score	0.57	0.42, 0.78	<0.001	0.573	3e-04	4e-04	3e-04	4e-04	4e-04	4e-04	High_AboveMedian	STAT1.score.BIN	dichotomous	FALSE	level	FALSE	313	164	313	prop_hazard	HR	STAT1.score.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	156	68	103,073	0.159	-3.55	164	0.42	0.78
G.CD3E	0.57	0.42, 0.78	<0.001	0.571	4e-04	4e-04	4e-04	4e-04	4e-04	4e-04	High_AboveMedian	G.CD3E.BIN	dichotomous	FALSE	level	FALSE	313	164	313	prop_hazard	HR	G.CD3E.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	156	68	102,995	0.160	-3.52	164	0.42	0.78
Tcell.receptors.score	0.53	0.38, 0.72	<0.001	0.581	5e-05	6e-05	5e-05	6e-05	6e-05	6e-05	High_AboveMedian	Tcell.receptors.score.BIN	dichotomous	FALSE	level	FALSE	313	164	313	prop_hazard	HR	Tcell.receptors.score.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	156	66	104,354	0.160	-4.00	164	0.38	0.72
Module4.TcellBcell.score	0.59	0.43, 0.81	<0.001	0.569	9e-04	0.001	8e-04	0.001	0.001	0.001	High_AboveMedian	Module4.TcellBcell.score.BIN	dichotomous	FALSE	level	FALSE	313	164	313	prop_hazard	HR	Module4.TcellBcell.score.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	156	70	103,658	0.159	-3.30	164	0.43	0.81
LIexpression.score	0.54	0.40, 0.74	<0.001	0.574	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	High_AboveMedian	LIexpression.score.BIN	dichotomous	FALSE	level	FALSE	313	164	313	prop_hazard	HR	LIexpression.score.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	156	67	104,223	0.160	-3.81	164	0.40	0.74
TcClassII.score	0.56	0.41, 0.77	<0.001	0.571	3e-04	3e-04	3e-04	3e-04	3e-04	3e-04	High_AboveMedian	TcClassII.score.BIN	dichotomous	FALSE	level	FALSE	313	164	313	prop_hazard	HR	TcClassII.score.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	156	69	105,033	0.159	-3.59	164	0.41	0.77
PDL1.data	0.59	0.43, 0.81	<0.001	0.569	8e-04	9e-04	8e-04	9e-04	9e-04	9e-04	High_AboveMedian	PDL1.data.BIN	dichotomous	FALSE	level	FALSE	313	164	313	prop_hazard	HR	PDL1.data.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	156	69	102,789	0.159	-3.32	164	0.43	0.81
ICS5.score	0.56	0.41, 0.77	<0.001	0.574	3e-04	3e-04	2e-04	3e-04	3e-04	3e-04	High_AboveMedian	ICS5.score.BIN	dichotomous	FALSE	level	FALSE	313	164	313	prop_hazard	HR	ICS5.score.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	156	70	106,929	0.160	-3.63	164	0.41	0.77
Tcells	0.59	0.43, 0.80	<0.001	0.568	8e-04	9e-04	8e-04	9e-04	9e-04	9e-04	High_AboveMedian	Tcells.BIN	dichotomous	FALSE	level	FALSE	313	164	313	prop_hazard	HR	Tcells.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	156	70	104,444	0.159	-3.33	164	0.43	0.80
