variable	Hazard_Ratio	ci	p.value	Concordance	Likelihood_Ratio_Pval	Wald_Test_Pval	Logrank_Test_Pval	Likelihood_Ratio_AdjPval_BH	Wald_Test_AdjPval_BH	Logrank_Test_AdjPval_BH	Criteria	var_label	var_type	reference_row	row_type	header_row	N_obs	N_event	N	coefficients_type	coefficients_label	term	var_class	var_nlevels	contrasts	contrasts_type	n_obs	n_event	exposure	std.error	statistic	nevent	conf.low	conf.high
CD103pos.mean.25446897	0.57	0.41, 0.80	<0.001	0.576	9e-04	0.001	9e-04	0.001	0.001	0.001	High_AboveMedian	CD103pos.mean.25446897.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	CD103pos.mean.25446897.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	63	56,612	0.170	-3.29	144	0.41	0.80
STAT1.score	0.57	0.41, 0.79	<0.001	0.578	8e-04	8e-04	7e-04	8e-04	8e-04	8e-04	High_AboveMedian	STAT1.score.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	STAT1.score.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	63	57,251	0.170	-3.34	144	0.41	0.79
G.SIGLEC9	0.53	0.38, 0.74	<0.001	0.573	2e-04	2e-04	2e-04	2e-04	2e-04	2e-04	High_AboveMedian	G.SIGLEC9.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	G.SIGLEC9.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	60	57,855	0.172	-3.68	144	0.38	0.74
MHC1.21978456	0.55	0.39, 0.77	<0.001	0.575	4e-04	4e-04	4e-04	4e-04	4e-04	4e-04	High_AboveMedian	MHC1.21978456.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	MHC1.21978456.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	61	56,346	0.171	-3.52	144	0.39	0.77
TAMsurr.score	0.53	0.38, 0.74	<0.001	0.584	2e-04	2e-04	1e-04	2e-04	2e-04	2e-04	High_AboveMedian	TAMsurr.score.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	TAMsurr.score.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	61	57,786	0.171	-3.74	144	0.38	0.74
DAP12.data	0.49	0.35, 0.68	<0.001	0.583	2e-05	3e-05	2e-05	3e-05	3e-05	3e-05	High_AboveMedian	DAP12.data.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	DAP12.data.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	57	57,039	0.173	-4.17	144	0.35	0.68
PDL1.data	0.50	0.36, 0.70	<0.001	0.59	4e-05	5e-05	4e-05	5e-05	5e-05	5e-05	High_AboveMedian	PDL1.data.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	PDL1.data.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	60	57,827	0.171	-4.06	144	0.36	0.70
ICS5.score	0.50	0.36, 0.70	<0.001	0.596	5e-05	6e-05	5e-05	6e-05	6e-05	6e-05	High_AboveMedian	ICS5.score.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	ICS5.score.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	62	59,429	0.172	-4.00	144	0.36	0.70
Neutrophils	0.55	0.39, 0.76	<0.001	0.57	4e-04	4e-04	4e-04	4e-04	4e-04	4e-04	High_AboveMedian	Neutrophils.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Neutrophils.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	60	56,533	0.172	-3.52	144	0.39	0.76
Module5.TcellBcell.score	0.53	0.38, 0.74	<0.001	0.584	2e-04	2e-04	2e-04	2e-04	2e-04	2e-04	High_AboveMedian	Module5.TcellBcell.score.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Module5.TcellBcell.score.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	62	59,192	0.171	-3.71	144	0.38	0.74
CSF1.response	0.55	0.39, 0.77	<0.001	0.58	4e-04	4e-04	4e-04	4e-04	4e-04	4e-04	High_AboveMedian	CSF1.response.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	CSF1.response.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	62	57,650	0.171	-3.51	144	0.39	0.77
G.LILRB4	0.50	0.35, 0.70	<0.001	0.582	5e-05	6e-05	4e-05	6e-05	6e-05	6e-05	High_AboveMedian	G.LILRB4.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	G.LILRB4.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	59	58,847	0.174	-4.02	144	0.35	0.70
MHC.II.19272155	0.49	0.35, 0.69	<0.001	0.595	3e-05	4e-05	3e-05	4e-05	4e-05	4e-05	High_AboveMedian	MHC.II.19272155.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	MHC.II.19272155.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	60	58,949	0.172	-4.13	144	0.35	0.69
MHC.I.19272155	0.55	0.39, 0.77	<0.001	0.575	4e-04	4e-04	4e-04	4e-04	4e-04	4e-04	High_AboveMedian	MHC.I.19272155.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	MHC.I.19272155.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	61	56,346	0.171	-3.52	144	0.39	0.77
IL12.score.21050467	0.53	0.38, 0.75	<0.001	0.587	2e-04	3e-04	2e-04	3e-04	3e-04	3e-04	High_AboveMedian	IL12.score.21050467.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	IL12.score.21050467.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	63	58,898	0.172	-3.65	144	0.38	0.75
MDACC.FNA.1.20805453	0.55	0.39, 0.77	<0.001	0.581	4e-04	5e-04	4e-04	5e-04	5e-04	5e-04	High_AboveMedian	MDACC.FNA.1.20805453.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	MDACC.FNA.1.20805453.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	62	56,646	0.171	-3.50	144	0.39	0.77
iDC	0.57	0.41, 0.79	<0.001	0.571	8e-04	9e-04	8e-04	9e-04	9e-04	9e-04	High_AboveMedian	iDC.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	iDC.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	61	54,690	0.170	-3.32	144	0.41	0.79
Bcell.21978456	0.53	0.38, 0.74	<0.001	0.575	2e-04	2e-04	2e-04	2e-04	2e-04	2e-04	High_AboveMedian	Bcell.21978456.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Bcell.21978456.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	61	59,036	0.173	-3.67	144	0.38	0.74
TAMsurr.TcClassII.ratio	0.54	0.39, 0.76	<0.001	0.583	3e-04	3e-04	3e-04	3e-04	3e-04	3e-04	High_AboveMedian	TAMsurr.TcClassII.ratio.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	TAMsurr.TcClassII.ratio.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	63	58,717	0.172	-3.58	144	0.39	0.76
pDC	0.48	0.35, 0.68	<0.001	0.589	2e-05	2e-05	2e-05	2e-05	2e-05	2e-05	High_AboveMedian	pDC.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	pDC.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	58	58,138	0.172	-4.22	144	0.35	0.68
NHI.5gene.score	0.53	0.38, 0.74	<0.001	0.582	2e-04	2e-04	2e-04	2e-04	2e-04	2e-04	High_AboveMedian	NHI.5gene.score.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	NHI.5gene.score.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	61	57,672	0.172	-3.68	144	0.38	0.74
IR7.score	0.54	0.39, 0.75	<0.001	0.582	3e-04	3e-04	3e-04	3e-04	3e-04	3e-04	High_AboveMedian	IR7.score.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	IR7.score.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	62	58,101	0.171	-3.61	144	0.39	0.75
ICR.INHIB.SCORE	0.56	0.40, 0.78	<0.001	0.583	6e-04	6e-04	5e-04	6e-04	6e-04	6e-04	High_AboveMedian	ICR.INHIB.SCORE.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	ICR.INHIB.SCORE.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	63	56,911	0.169	-3.43	144	0.40	0.78
